127.0.0.1 - - [09/Jul/2024:09:26:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:26:11 +0900] "GET /CSS/index.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:26:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:29:31 +0900] "GET /CSS/index.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:34:13 +0900] "GET /CSS/index.html HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:37:37 +0900] "GET /CSS/index.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:37:37 +0900] "GET /CSS/style.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:39:21 +0900] "GET /CSS/index.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [09/Jul/2024:09:39:21 +0900] "GET /CSS/style.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:13 +0900] "GET /Html/h_mission.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:42 +0900] "GET /Html/h_mission.html HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:42 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:42 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:43 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:43 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:45 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:45 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:46 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:47 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:47 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:10:47 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:11:00 +0900] "GET /Html/h_mission.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:11:02 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:11:02 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:11:02 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2024:10:11:02 +0900] "GET /Html/h_mission.html HTTP/1.1" 304 -
